address,block,validity,multisig,option,importance
NA2YJCCIGT325RN3WWPXM37C2PQFTHZYIUA5W5VS,1537787,Multiple Vote,false,yes,0
NACFKHDSTHSLBRJL77GFSGSPRCIZBWVFU2KLTMRD,1537784,Valid,true,yes,0.000010839392608541508
NDKDLD23BBNL4WX3Y7N32JBG3EOPD5SMOERV56HK,1537759,Valid,false,yes,0.00030744193538798976
NCIW5M7FUNZWNQR5XA4UJJIMJFJVSNC2ZT5BMAKO,1537758,Valid,false,yes,0.0003074915786260728
NBOAS7WWMXKZKZGSQZYNM4DLTCZP3W2VP2S7VMBH,1537749,Valid,true,yes,0.0003088921911456984
ND5DO5GHL3FZWDKXDA62SWXUYM7TJSWNZ4YGFDLP,1537700,Valid,false,yes,0.000010612745970590716
NC43PT4VAFLFKZPTXI5SRYD47R6EXFZY4RHMJSNG,1537685,Valid,true,yes,0.0014224012203019854
NA5AO6PM7HONTO7IN5CBRNFKLFPU7BWQHSBO3L5W,1537650,Valid,false,yes,0
NAW5BDPC6VOOLVPGTTXLRTBU4DNJNKCRTM3FTUIL,1537632,Valid,false,yes,0.00024743008279214633
NCIELL3C776X5JM6VVJTRWBM73KRKF2BJM2DG4GO,1537617,Valid,false,yes,0
NDNX6GD37TQKYN5V65WSOHG6D5Q5BJGUO4HRBZGW,1537611,Valid,false,yes,0
NBM4VB3NVSI4TUI7AYLVZMFMXHTMHN3N5TZIDBIM,1537592,Valid,false,yes,0.000010500572166446398
NA5BKQHJERHMA6YJ6TDT5ZXLCQBPSYNMEEURQNUT,1537555,Valid,false,yes,0
NAARR2FW3X4Y3HMW7R6V7HMFGQKTVV2RJUAQLDO7,1537515,Valid,false,yes,0.00034182078570050157
NCBU5Q4LEANNICUGIGNSWGLGM262EOMDYVXWH5CQ,1537508,Valid,false,yes,0.00034177451881868976
NCM3BHCFN47O2UVBATY7EXSINBPRKL6J5WQL62XT,1537506,Valid,false,yes,0.00003756110680597833
ND3N6LAREIFMHZVJBOSGUO7GSBKY6VLO4UKJOOKD,1537506,Valid,false,yes,0.00034182292496440637
ND76ZXQEHPTUB555DCCIERA7ITBVDSRKE3EYNCOJ,1537503,Valid,false,yes,0
